Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
170 a 171;5;3;770 (Tue Dec 04 03:58:54 BRST 2007[null]);2;22;0.084;4;34;0.106;0.094;0.067;0.048;0.134;0.116;0.089;0.067
171 a 172;3;2;773 (Tue Dec 04 06:02:40 BRST 2007[null]);1;10;0.091;1;21;0.046;0.062;0.084;0.084;0.039;0.060;0.053;0.062
172 a 173;2;1;774 (Tue Dec 04 08:35:08 BRST 2007[null]);0;3;0.000;0;19;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
173 a 174;2;1;777 (Tue Dec 04 10:23:41 BRST 2007[null]);0;5;0.000;0;6;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
176 a 177;4;1;781 (Wed Dec 05 12:39:46 BRST 2007[null]);2;5;0.286;3;13;0.188;0.227;0.286;0.001;0.188;0.099;0.227;0.060
178 a 179;2;1;794 (Fri Dec 07 11:16:44 BRST 2007[null]);1;3;0.250;1;0;1.000;0.401;0.250;0.000;1.000;0.750;0.401;0.151
181 a 182;2;1;799 (Sun Dec 09 21:44:15 BRST 2007[null]);1;1;0.500;1;5;0.167;0.251;0.500;0.000;0.167;0.334;0.250;0.250
185 a 186;6;1;816 (Fri Dec 14 00:27:48 BRST 2007[null]);0;4;0.000;0;4;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
187 a 188;1;1;823 (Fri Dec 14 18:41:00 BRST 2007[null]);2;0;1.000;17;9;0.654;0.791;1.000;0.000;0.654;0.347;0.791;0.210
188 a 189;6;1;830 (Fri Dec 21 13:50:56 BRST 2007[null]);0;2;0.000;0;9;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
189 a 190;10;1;832 (Sat Dec 22 22:17:37 BRST 2007[null]);0;3;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
191 a 192;1;1;842 (Sun Dec 23 14:41:30 BRST 2007[null]);2;0;1.000;4;10;0.286;0.445;1.000;0.000;0.286;0.715;0.445;0.556
192 a 193;2;2;862 (Mon Jan 07 13:06:29 BRST 2008[null]);7;8;0.467;9;25;0.265;0.339;0.417;0.084;0.217;0.232;0.277;0.187
193 a 194;10;2;864 (Tue Jan 08 11:33:20 BRST 2008[null]);2;5;0.286;2;12;0.143;0.191;0.250;0.250;0.077;0.190;0.118;0.178
194 a 195;2;2;865 (Tue Jan 08 13:44:21 BRST 2008[null]);0;14;0.000;0;24;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
195 a 196;3;1;866 (Tue Jan 08 16:11:20 BRST 2008[null]);1;7;0.125;1;5;0.167;0.143;0.125;0.000;0.167;0.042;0.143;0.018
196 a 197;1;1;869 (Tue Jan 08 20:17:56 BRST 2008[null]);0;1;0.000;0;2;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
197 a 198;1;1;870 (Tue Jan 08 20:41:28 BRST 2008[null]);2;6;0.250;2;10;0.167;0.201;0.250;0.000;0.167;0.084;0.201;0.050
198 a 199;3;1;871 (Wed Jan 09 16:06:41 BRST 2008[null]);1;1;0.500;1;0;1.000;0.667;0.500;0.000;1.000;0.500;0.667;0.167
199 a 200;10;5;878 (Thu Jan 10 18:19:15 BRST 2008[null]);0;20;0.000;0;29;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
200 a 201;12;7;879 (Fri Jan 11 14:46:53 BRST 2008[null]);8;12;0.401;8;19;0.297;0.342;0.465;0.282;0.626;0.469;0.500;0.327
201 a 202;11;8;880 (Mon Jan 14 09:33:05 BRST 2008[null]);8;12;0.401;9;18;0.334;0.365;0.469;0.364;0.646;0.493;0.525;0.387
