Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
320 a 370;113;82;1473 (Mon Jul 05 15:16:46 BRT 2010[null]);81;212;0.277;132;516;0.204;0.235;0.303;0.320;0.182;0.250;0.198;0.228
325 a 375;115;81;1502 (Mon Aug 02 15:51:24 BRT 2010[null]);84;191;0.306;140;526;0.211;0.250;0.334;0.332;0.205;0.268;0.217;0.235
330 a 380;125;88;1519 (Mon Aug 09 12:54:32 BRT 2010[null]);86;217;0.284;139;562;0.199;0.235;0.315;0.338;0.192;0.273;0.204;0.239
335 a 385;132;89;1531 (Tue Aug 17 22:32:43 BRT 2010[null]);85;219;0.280;141;523;0.213;0.242;0.312;0.343;0.205;0.278;0.210;0.237
340 a 390;127;80;1566 (Mon Aug 30 15:03:47 BRT 2010[null]);78;181;0.302;138;541;0.204;0.244;0.292;0.344;0.200;0.282;0.199;0.237
345 a 395;167;96;1581 (Thu Sep 16 12:03:24 BRT 2010[null]);85;213;0.286;149;633;0.191;0.230;0.292;0.360;0.185;0.278;0.189;0.242
350 a 400;197;110;1599 (Fri Oct 15 11:14:48 BRT 2010[null]);96;251;0.277;161;750;0.177;0.216;0.280;0.348;0.173;0.267;0.180;0.234
355 a 405;191;101;1621 (Wed Nov 03 18:27:59 BRST 2010[null]);89;217;0.291;148;719;0.171;0.216;0.287;0.355;0.173;0.275;0.180;0.239
360 a 410;185;99;1640 (Wed Dec 01 19:55:33 BRST 2010[null]);90;229;0.283;133;731;0.154;0.200;0.277;0.338;0.171;0.271;0.176;0.231
365 a 415;200;108;1647 (Thu Dec 16 13:21:22 BRST 2010[null]);84;278;0.233;127;823;0.134;0.171;0.235;0.323;0.149;0.253;0.150;0.209
370 a 420;203;109;1659 (Mon Dec 20 15:31:14 BRST 2010[null]);78;279;0.219;125;834;0.131;0.164;0.224;0.323;0.129;0.230;0.140;0.209
375 a 425;197;110;1680 (Fri Jan 14 15:21:22 BRST 2011[null]);81;289;0.219;124;862;0.126;0.160;0.221;0.315;0.119;0.216;0.135;0.204
380 a 430;224;116;1701 (Fri Jan 28 02:17:16 BRST 2011[null]);81;307;0.209;124;911;0.120;0.153;0.212;0.307;0.108;0.197;0.125;0.192
385 a 435;241;125;1719 (Fri Feb 11 15:55:16 BRST 2011[null]);81;326;0.200;115;1016;0.102;0.136;0.207;0.313;0.092;0.191;0.111;0.186
390 a 440;225;117;1761 (Fri Mar 25 17:44:18 BRT 2011[null]);66;318;0.172;91;895;0.093;0.121;0.196;0.301;0.089;0.186;0.106;0.180
395 a 445;206;105;1774 (Thu Apr 07 23:29:28 BRT 2011[null]);63;299;0.175;87;831;0.095;0.124;0.198;0.292;0.098;0.194;0.111;0.176
400 a 450;192;98;1785 (Mon Apr 11 10:01:15 BRT 2011[null]);60;271;0.182;86;743;0.104;0.133;0.215;0.309;0.108;0.209;0.119;0.186
405 a 455;227;113;1805 (Sat Apr 23 17:37:57 BRT 2011[null]);63;314;0.168;91;885;0.094;0.121;0.199;0.305;0.101;0.200;0.110;0.180
